Domain,Phylum,Class,Order,Family
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae
Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae
Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae
Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Lewinellaceae
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae
Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae
cannot be assigned to a (non-viral) family,NA,NA,NA,NA
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae
Eukaryota,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae
unclassified,NA,NA,NA,NA
Viruses,NA,NA,NA,NA
