Domain,Phylum,Class,Order
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales
Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales
Bacteria,Actinobacteria,Actinobacteria,Micrococcales
Bacteria,Actinobacteria,Actinobacteria,Streptomycetales
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales
Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales
Bacteria,Bacteroidetes,Cytophagia,Cytophagales
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales
Bacteria,Bacteroidetes,Saprospiria,Saprospirales
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales
Bacteria,Firmicutes,Bacilli,Bacillales
Bacteria,Firmicutes,Bacilli,Lactobacillales
Bacteria,Firmicutes,Clostridia,Clostridiales
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales
Eukaryota,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales
Unclassified,NA,NA,NA
