Domain,Phylum,Class
Bacteria,Actinobacteria,Actinobacteria
Bacteria,Bacteroidetes,Bacteroidia
Bacteria,Bacteroidetes,Chitinophagia
Bacteria,Bacteroidetes,Cytophagia
Bacteria,Bacteroidetes,Flavobacteriia
Bacteria,Bacteroidetes,Saprospiria
Bacteria,Bacteroidetes,Sphingobacteriia
Bacteria,Deinococcus-Thermus,Deinococci
Bacteria,Firmicutes,Bacilli
Bacteria,Firmicutes,Clostridia
Bacteria,Firmicutes,Erysipelotrichia
Bacteria,Proteobacteria,Alphaproteobacteria
Bacteria,Proteobacteria,Betaproteobacteria
Bacteria,Proteobacteria,Gammaproteobacteria
Bacteria,Verrucomicrobia,Verrucomicrobiae
Eukaryota,Ascomycota,Eurotiomycetes
Eukaryota,Chytridiomycota,Neocallimastigomycetes
Unclassified,Unclassified,Unclassified
