"I.P01" "I.P07" "I.P11" "I.S07" "I.S29" "I.S34" "I.W31" "I.W32" "I.W33" "S.P03" "S.P09" "S.P12" "S.S05" "S.S08" "S.S32" "S.W20" "S.W36" "S.W37"
"unclassified.NA.NA.NA.NA.NA.NA" 25521534 23576077 13731792 24384072 34317361 23169700 11735673 17511480 17521635 24130740 16310592 20081555 35873650 14170288 19069501 7209147 16011486 13039033
"Viruses.NA.NA.NA.NA.NA.NA" 2857 2432 1878 1526 1951 1865 1353 3118 769 3520 1779 2562 6226 2048 962 556 2347 594
"Bacteria.Firmicutes.NA.NA.NA.NA.NA" 606351 506003 274471 575691 564576 408471 184641 321219 246736 888519 322249 386698 957151 268318 466785 105059 221510 118500
"Bacteria.Firmicutes.Clostridia.NA.NA.NA.NA" 18905 10059 6600 14495 16620 20555 12238 12524 11853 14587 10448 15971 36879 8897 9879 3547 11468 7286
"Bacteria.Firmicutes.Bacilli.NA.NA.NA.NA" 926 742 585 1546 979 864 540 839 816 1416 920 1051 2584 561 999 275 548 512
"Bacteria.Firmicutes.Negativicutes.NA.NA.NA.NA" 393 764 306 331 1091 1663 191 394 206 506 144 313 599 190 711 112 180 99
"Bacteria.Firmicutes.Tissierellia.NA.NA.NA.NA" 165 88 142 343 195 147 99 138 205 106 120 165 260 59 63 37 69 113
"Bacteria.Firmicutes.Clostridia.Clostridiales.NA.NA.NA" 1811703 1046934 717650 1186649 1461835 1474184 561790 673656 586026 1145275 675573 1047835 2294719 811265 1314800 673051 516299 649262
"Bacteria.Firmicutes.Bacilli.Lactobacillales.NA.NA.NA" 983 528 437 1031 692 1549 320 430 482 1341 705 820 3009 505 1130 153 280 384
"Bacteria.Firmicutes.Bacilli.Bacillales.NA.NA.NA" 1769 1564 894 1962 2215 2098 1040 1308 1349 2138 1078 1272 3235 955 1566 388 946 776
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.NA.NA.NA" 1 0 0 1 0 0 0 0 1 3 1 0 0 2 0 0 1 0
"Bacteria.Firmicutes.Negativicutes.Selenomonadales.NA.NA.NA" 99 82 74 23 86 195 12 24 7 13 11 43 77 14 53 4 4 11
"Bacteria.Firmicutes.Tissierellia.Tissierellales.NA.NA.NA" 31 7 12 27 32 10 21 10 18 9 9 19 21 13 8 9 12 17
"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.NA.NA.NA" 291 281 101 242 215 313 126 98 236 173 128 183 326 94 275 50 112 128
"Bacteria.Firmicutes.Clostridia.Halanaerobiales.NA.NA.NA" 5 1 7 3 9 2 23 2 2 46 2 13 18 2 31 0 1 0
"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.NA.NA" 437777 310533 180471 322537 410239 790554 64597 70071 88495 312025 195197 281354 594046 211824 381146 42243 43793 58668
"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.NA.NA" 81779 51142 72163 73860 117830 96430 36152 41082 43988 255789 54130 97292 129207 77664 54401 417645 46287 166745
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.NA.NA" 91799 67658 51837 126756 116762 66445 46265 79787 43613 73158 50432 53724 133046 60431 76863 156512 49827 42768
"Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.NA.NA" 36201 16151 32714 17879 41081 58634 21606 46966 12592 42732 10760 38113 39299 8192 15195 3750 19734 12698
"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.NA.NA" 14638 16720 8360 18611 23260 18086 8944 11381 13333 13830 8436 10333 43007 8626 12437 3364 8415 3997
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.NA.NA" 3253 822 1654 4820 1284 1253 22 42 75 4710 5332 309 12481 1175 3964 16 11 54
"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.NA.NA" 5652 5040 4060 7278 6389 3972 4328 9001 7684 6236 2898 4348 9956 5571 4486 6740 5439 7828
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.NA.NA" 1946 1085 758 1631 2079 1531 678 690 882 1111 961 1354 2506 754 1005 332 559 521
"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.NA.NA" 787 1144 334 853 774 1044 252 599 396 1840 418 761 1840 375 565 183 257 246
"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.NA.NA" 2105 1997 863 1779 1790 1667 679 878 967 1817 909 1338 2808 879 1823 272 744 555
"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XIII. Incertae Sedis.NA.NA" 395 447 220 677 514 349 439 712 829 363 317 554 887 307 290 149 572 359
"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.NA.NA" 1152 1179 618 1055 1060 1098 476 641 704 661 473 978 1627 452 903 258 525 318
"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.NA.NA" 86 70 44 129 127 68 69 104 86 70 59 67 119 43 60 32 99 76
