"I-P01"	"OTU"	"I-P07"	"I-P11"	"I-S07"	"I-S29"	"I-S34"	"I-W31"	"I-W32"	"I-W33"	"S-P03"	"S-P09"	"S-P12"	"S-S05"	"S-S08"	"S-S32"	"S-W20"	"S-W36"	"S-W37"
25521534	"unclassified.NA.NA.NA.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2857	"Viruses.NA.NA.NA.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
606351	"Bacteria.Firmicutes.NA.NA.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18905	"Bacteria.Firmicutes.Clostridia.NA.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
926	"Bacteria.Firmicutes.Bacilli.NA.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
393	"Bacteria.Firmicutes.Negativicutes.NA.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165	"Bacteria.Firmicutes.Tissierellia.NA.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1811703	"Bacteria.Firmicutes.Clostridia.Clostridiales.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
983	"Bacteria.Firmicutes.Bacilli.Lactobacillales.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1769	"Bacteria.Firmicutes.Bacilli.Bacillales.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	"Bacteria.Firmicutes.Negativicutes.Selenomonadales.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	"Bacteria.Firmicutes.Tissierellia.Tissierellales.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
291	"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	"Bacteria.Firmicutes.Clostridia.Halanaerobiales.NA.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
437777	"Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81779	"Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
91799	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36201	"Bacteria.Firmicutes.Clostridia.Clostridiales.Oscillospiraceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14638	"Bacteria.Firmicutes.Clostridia.Clostridiales.Eubacteriaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3253	"Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5652	"Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1946	"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
787	"Bacteria.Firmicutes.Bacilli.Bacillales.Paenibacillaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2105	"Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
395	"Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales Family XIII. Incertae Sedis.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1152	"Bacteria.Firmicutes.Clostridia.Clostridiales.Peptococcaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	"Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
428	"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Selenomonadaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	"Bacteria.Firmicutes.Clostridia.Clostridiales.Hungateiclostridiaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
681	"Bacteria.Firmicutes.Negativicutes.Veillonellales.Veillonellaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	"Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	"Bacteria.Firmicutes.Negativicutes.Acidaminococcales.Acidaminococcaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
166	"Bacteria.Firmicutes.Tissierellia.Tissierellales.Peptoniphilaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1818	"Bacteria.Firmicutes.Tissierellia.Tissierellales.Tissierellaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
747	"Bacteria.Firmicutes.Negativicutes.Selenomonadales.Sporomusaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	"Bacteria.Firmicutes.Bacilli.Bacillales.Staphylococcaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	"Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	"Bacteria.Firmicutes.Clostridia.Thermoanaerobacterales.Thermoanaerobacteraceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	"Bacteria.Firmicutes.Clostridia.Clostridiales.Heliobacteriaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	"Bacteria.Firmicutes.Bacilli.Bacillales.Planococcaceae.NA.NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
