Sample,Season,Squirrel,ID,Ex_Date,Substrate,Antibiotics,Sex,Euthenasia,Body_Mass,Body_Temp,[DNA]_(ng/uL),DNA_Yield_(ng/mg)
CC1_P01,Spring,P01,3998,3/8/2018,Inulin,No Antibiotics,Female,Isoflurane,153.8,39,238.8316832,205.889382
CT1_P01,Spring,P01,3998,3/8/2018,Inulin,No Antibiotics,Female,Isoflurane,153.8,39,332.6681571,281.9221671
CC2_P03,Spring,P03,3987,3/12/2018,Saline,No Antibiotics,Male,Isoflurane,172.6,36.5,96.8,79.3442623
CT1_P03,Spring,P03,3987,3/12/2018,Saline,No Antibiotics,Male,Isoflurane,172.6,36.5,170.2831,146.7957759
CC1_P04,Spring,P04,3957,3/15/2018,Saline,Antibiotics,Female,Isoflurane,143.6,37.5,1.440641,1.043942754
CT1_P04,Spring,P04,3957,3/15/2018,Saline,Antibiotics,Female,Isoflurane,143.6,37.5,356.846375,270.3381628
CC1_P05,Spring,P05,4023,3/16/2018,Saline,Antibiotics,Female,Isoflurane,170.3,39,0.867454487,0.69956007
CT1_P05,Spring,P05,4023,3/16/2018,Saline,Antibiotics,Female,Isoflurane,170.3,39,288.2816991,200.1956244
CC1_P06,Spring,P06,3993,3/19/2018,Saline,Antibiotics,Female,Isoflurane,152.1,40,0.671351006,0.459829456
CT1_P06,Spring,P06,3993,3/19/2018,Saline,Antibiotics,Female,Isoflurane,152.1,40,379.1133823,379.1133823
CC1_P07,Spring,P07,4003,3/20/2018,Inulin,No Antibiotics,Female,Isoflurane,154.6,38.5,209.1708719,205.0694823
CT1_P07,Spring,P07,4003,3/20/2018,Inulin,No Antibiotics,Female,Isoflurane,154.6,38.5,548.2855318,380.7538415
CC1_P08,Spring,P08,3985,3/21/2018,Inulin,No Antibiotics,Male,Isoflurane,170,39,122.9869051,106.0231941
CT1_P08,Spring,P08,3985,3/21/2018,Inulin,No Antibiotics,Male,Isoflurane,170,39,209.9290961,172.0730296
CC2_P09,Spring,P09,3999,3/22/2018,Saline,No Antibiotics,Male,Isoflurane,172.7,37,174,135.9375
CT1_P09,Spring,P09,3999,3/22/2018,Saline,No Antibiotics,Male,Isoflurane,172.7,37,91.22133504,87.71282215
CC1_P11,Spring,P11,3990,3/26/2018,Inulin,No Antibiotics,Male,Isoflurane,188.6,36,81.25646758,81.25646758
CT1_P11,Spring,P11,3990,3/26/2018,Inulin,No Antibiotics,Male,Isoflurane,188.6,36,455.7438518,421.985048
CC1_P12,Spring,P12,4012,3/27/2018,Saline,No Antibiotics,Male,Isoflurane,170.1,37,167.892686,167.892686
CT1_P12,Spring,P12,4012,3/27/2018,Saline,No Antibiotics,Male,Isoflurane,170.1,37,493.8977962,433.2436809
CC1_P15,Spring,P15,4025,3/29/2018,Inulin,No Antibiotics,Male,Isoflurane,159.6,38,151.0921957,148.1296036
CT1_P15,Spring,P15,4025,3/29/2018,Inulin,No Antibiotics,Male,Isoflurane,159.6,38,240.6454039,207.4529344
CC1_P16,Spring,P16,4046,3/29/2018,Inulin,No Antibiotics,Male,Isoflurane,159.6,38,181.8109823,154.0771037
CT1_P16,Spring,P16,4046,3/29/2018,Inulin,No Antibiotics,Male,Isoflurane,159.6,38,347.8366891,241.5532563
CC1_P19,Spring,P19,4119,3/12/2019,Saline,Antibiotics,Male,Isoflurane,164.5,37,17.64073719,14.45962065
CT1_P19,Spring,P19,4119,3/12/2019,Saline,Antibiotics,Male,Isoflurane,164.5,37,351.2587362,292.7156135
CC1_P20,Spring,P20,4130,3/12/2019,Saline,Antibiotics,Female,Isoflurane,149.8,36,107.1850168,101.1179403
CT1_P20,Spring,P20,4130,3/12/2019,Saline,Antibiotics,Female,Isoflurane,149.8,36,366.4717568,281.9013514
CC2_P21,Spring,P21,4128,3/13/2019,Inulin,Antibiotics,Female,Isoflurane,130.5,37.5,0.449258018,0.335267178
CT1_P21,Spring,P21,4128,3/13/2019,Inulin,Antibiotics,Female,Isoflurane,130.5,37.5,115.6699378,105.1544889
CC1_P22,Spring,P22,4108,3/13/2019,Inulin,Antibiotics,Female,Isoflurane,111.4,39,17.75370991,10.08733518
CT1_P22,Spring,P22,4108,3/13/2019,Inulin,Antibiotics,Female,Isoflurane,111.4,39,231.4851604,192.9043003
CC1_P24,Spring,P24,4150,3/14/2019,Saline,Antibiotics,Male,Isoflurane,147.3,39,0.450215414,0.381538487
CT1_P24,Spring,P24,4150,3/14/2019,Saline,Antibiotics,Male,Isoflurane,147.3,39,288.3310196,252.921947
CC1_P26,Spring,P26,4085,3/15/2019,Inulin,Antibiotics,Male,Isoflurane,149.4,37,0.270703686,0.211487255
CT1_P26,Spring,P26,4085,3/15/2019,Inulin,Antibiotics,Male,Isoflurane,149.4,37,294.7048827,272.8748914
CC1_P28,Spring,P28,4127,3/18/2019,Inulin,Antibiotics,Male,Isoflurane,118.9,36,0.022738152,0.021863608
CT1_P28,Spring,P28,4127,3/18/2019,Inulin,Antibiotics,Male,Isoflurane,118.9,36,220.0825754,164.2407279
CC2_P30,Spring,P30,4090,3/19/2019,Inulin,Antibiotics,Male,Isoflurane,157.1,38,1.643609382,1.002200843
CT1_P30,Spring,P30,4090,3/19/2019,Inulin,Antibiotics,Male,Isoflurane,157.1,38,316.0682145,287.3347404
CC1_P32,Spring,P32,4116,3/20/2019,Saline,Antibiotics,Male,Isoflurane,144.2,39,1.943752992,1.199847526
CT1_P32,Spring,P32,4116,3/20/2019,Saline,Antibiotics,Male,Isoflurane,144.2,39,353.4052178,285.0042079
CC1_P33,Spring,P33,4095,3/21/2019,Saline,No Antibiotics,Male,Isoflurane,170.9,37,231.8513643,190.0421019
CT1_P33,Spring,P33,4095,3/21/2019,Saline,No Antibiotics,Male,Isoflurane,170.9,37,166.969124,149.079575
CC1_P34,Spring,P34,4115,3/21/2019,Inulin,Antibiotics,Female,Isoflurane,134.6,38,0.526328387,0.34177168
CT1_P34,Spring,P34,4115,3/21/2019,Inulin,Antibiotics,Female,Isoflurane,134.6,38,136.046673,90.69778203
CC1_P35,Spring,P35,4110,3/22/2019,Saline,No Antibiotics,Female,Isoflurane,154.2,40,191.8702729,168.3072569
CT1_P35,Spring,P35,4110,3/22/2019,Saline,No Antibiotics,Female,Isoflurane,154.2,40,277.9351364,217.1368253
CC1_P36,Spring,P36,4118,3/22/2019,Inulin,No Antibiotics,Female,Isoflurane,141.7,37,67.56749641,62.56249668
CT1_P36,Spring,P36,4118,3/22/2019,Inulin,No Antibiotics,Female,Isoflurane,141.7,37,216.7504992,174.7987897
CC1_P38,Spring,P38,4167,3/25/2019,Inulin,No Antibiotics,Male,Isoflurane,152.8,37,111.1776172,108.9976639
CT1_P38,Spring,P38,4167,3/25/2019,Inulin,No Antibiotics,Male,Isoflurane,152.8,37,304.1228487,286.9083479
CC2_P39,Spring,P39,4146,3/26/2019,Inulin,Antibiotics,Female,Isoflurane,154.7,38,1.896453361,1.755975334
CT1_P39,Spring,P39,4146,3/26/2019,Inulin,Antibiotics,Female,Isoflurane,154.7,38,296.256537,269.3241246
CC1_P41,Spring,P41,4098,3/27/2019,Saline,No Antibiotics,Male,Isoflurane,174.9,38.5,136.3392602,117.533845
CT1_P41,Spring,P41,4098,3/27/2019,Saline,No Antibiotics,Male,Isoflurane,174.9,38.5,114.1066844,107.6478155
