,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Firmicutes;NA;NA;NA;NA;NA;,50.000000,28.571430,32.307693,47.959183,37.179489,32.727272,54.166668,33.333336,33.846153,47.572815,26.881721,51.282055,47.445255,29.508198,22.916668,28.571430,47.619049,56.250000
Bacteria;Bacteroidetes;NA;NA;NA;NA;NA;,33.035713,57.142860,55.384617,37.755100,47.435898,54.545456,35.416664,53.846157,47.692307,42.718445,52.688171,30.769232,37.226276,54.098362,66.666672,60.000004,33.333336,40.625000
Bacteria;Actinobacteria;NA;NA;NA;NA;NA;,2.678571,0,0,1.020408,1.282051,1.818182,2.083333,0,0,0,1.075269,2.564103,1.459854,0,2.083333,0,0,0
Bacteria;Thermotogae;NA;NA;NA;NA;NA;,0.892857,0,0,1.020408,0,0,0,0,0,0.970874,0,0,0,0,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) phylum,4.464286,11.111112,7.692308,6.122449,7.692308,7.272727,4.166667,2.564103,9.230769,5.825243,11.827957,8.974360,8.029197,8.196721,4.166667,8.571429,4.761905,3.125000
unclassified,8.928572,3.174603,3.076923,6.122449,6.410257,1.818182,4.166667,7.692308,9.230769,2.912621,6.451613,5.128205,5.839416,6.557377,4.166667,2.857143,14.285715,0.000000
Bacteria;Proteobacteria;NA;NA;NA;NA;NA;,0,0,1.538462,0,0,1.818182,0,0,0,0,0,1.282051,0,1.639344,0,0,0,0
Bacteria;Acidobacteria;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,2.564103,0,0,0,0,0,0,0,0,0,0
Bacteria;Chloroflexi;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,1.075269,0,0,0,0,0,0,0
