"","I.S07","I.S29","I.S34","S.S05","S.S08","S.S32"
"Viruses*NA*NA*NA*NA*NA*NA",1526,1951,1865,6226,2048,962
"Bacteria*Firmicutes*NA*NA*NA*NA*NA",575691,564576,408471,957151,268318,466785
"Bacteria*Firmicutes*Clostridia*NA*NA*NA*NA",14495,16620,20555,36879,8897,9879
"Bacteria*Firmicutes*Bacilli*NA*NA*NA*NA",1546,979,864,2584,561,999
"Bacteria*Firmicutes*Negativicutes*NA*NA*NA*NA",331,1091,1663,599,190,711
"Bacteria*Firmicutes*Tissierellia*NA*NA*NA*NA",343,195,147,260,59,63
"Bacteria*Firmicutes*Clostridia*Clostridiales*NA*NA*NA",1186649,1461835,1474184,2294719,811265,1314800
"Bacteria*Firmicutes*Bacilli*Lactobacillales*NA*NA*NA",1031,692,1549,3009,505,1130
"Bacteria*Firmicutes*Bacilli*Bacillales*NA*NA*NA",1962,2215,2098,3235,955,1566
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*NA*NA*NA",23,86,195,77,14,53
"Bacteria*Firmicutes*Tissierellia*Tissierellales*NA*NA*NA",27,32,10,21,13,8
"Bacteria*Firmicutes*Clostridia*Thermoanaerobacterales*NA*NA*NA",242,215,313,326,94,275
"Bacteria*Firmicutes*Clostridia*Halanaerobiales*NA*NA*NA",3,9,2,18,2,31
"Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*NA*NA",322537,410239,790554,594046,211824,381146
"Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*NA*NA",73860,117830,96430,129207,77664,54401
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*NA*NA",126756,116762,66445,133046,60431,76863
"Bacteria*Firmicutes*Clostridia*Clostridiales*Oscillospiraceae*NA*NA",17879,41081,58634,39299,8192,15195
"Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*NA*NA",18611,23260,18086,43007,8626,12437
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Lactobacillaceae*NA*NA",4820,1284,1253,12481,1175,3964
"Bacteria*Firmicutes*Erysipelotrichia*Erysipelotrichales*Erysipelotrichaceae*NA*NA",7278,6389,3972,9956,5571,4486
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptostreptococcaceae*NA*NA",1631,2079,1531,2506,754,1005
"Bacteria*Firmicutes*Bacilli*Bacillales*Paenibacillaceae*NA*NA",853,774,1044,1840,375,565
"Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*NA*NA",1779,1790,1667,2808,879,1823
"Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiales Family XIII. Incertae Sedis*NA*NA",677,514,349,887,307,290
"Bacteria*Firmicutes*Clostridia*Clostridiales*Peptococcaceae*NA*NA",1055,1060,1098,1627,452,903
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Enterococcaceae*NA*NA",129,127,68,119,43,60
"Bacteria*Firmicutes*Negativicutes*Selenomonadales*Selenomonadaceae*NA*NA",509,1465,1050,769,181,629
"Bacteria*Firmicutes*Clostridia*Clostridiales*Hungateiclostridiaceae*NA*NA",164,72,114,213,52,114
"Bacteria*Firmicutes*Negativicutes*Veillonellales*Veillonellaceae*NA*NA",1027,728,854,980,319,694
"Bacteria*Firmicutes*Bacilli*Lactobacillales*Streptococcaceae*NA*NA",133,96,39,141,45,20
"Bacteria*Firmicutes*Negativicutes*Acidaminococcales*Acidaminococcaceae*NA*NA",24,20,21,20,4,9
"Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*NA*NA",208,167,197,312,94,111
