,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37,8I-P0,8I-P1,8I-S0,8I-S2,8I-S3,8I-W3,8S-P0,8S-P1,8S-S0,8S-S3,8S-W2,8S-W3
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;Clostridiaceae bacterium;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.285715,0,5.263158,0,23.076923,0,0,11.111112,10.526316,0,0,33.333336
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.523809,6.666667,5.263158,8.333334,0,14.285715,0,0,5.263158,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;Ruminiclostridium;Ruminiclostridium cellobioparum;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,5.263158,0,7.692308,0,9.090909,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio sp. Su6;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,0,0,0,0,7.142858,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Marseille-P299;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG_194_44_15;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,0,0,0,14.285715,0,5.555556,5.263158,0,0,50.000000
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,0,0,0,0,7.142858,5.555556,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. FJAT-44921;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia sp. 1XD42-69;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761905,0,0,0,0,0,0,5.555556,5.263158,0,0,0
Viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.000000,26.666668,31.578945,8.333334,30.769232,28.571430,35.714287,33.333336,33.333336,36.363636,0.000000,50.000000
unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.000000,6.666667,15.789473,16.666667,7.692308,0.000000,21.428572,0.000000,0.000000,18.181819,0.000000,0.000000
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella oxytoca;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.000000,6.666667,0,0,0,14.285715,0,5.555556,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:1013;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.000000,0,0,8.333334,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Murimonas;Murimonas intestini;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.000000,0,0,0,0,0,0,0,0,0,0,0
Bacteria;NA;NA;NA;NA;NA;bacterium;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.000000,0,5.263158,0,0,16.666668,0,0,0,9.090909,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella;Hungatella hathewayi;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.333334,5.263158,0,0,42.857143,9.090909,5.555556,16.666668,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides heparinolyticus;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666667,5.263158,8.333334,0,16.666668,7.142858,5.555556,5.263158,9.090909,25.000000,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella bergensis;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666667,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium A4;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666667,0,0,0,0,9.090909,5.555556,5.263158,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666667,0,0,0,16.666668,9.090909,0,15.789473,0,0,0
