Protein,Rel_Abund,Domain,Phylum,Class,Order,Family,Genus,Species
Endo3,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus
Exo1,2,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo17,2,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo6,2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
Exo39,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus
Exo7,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
Exo18,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,sp. TLL-A4
Exo4,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,sp. H5
Exo26,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,dentalis
Exo40,1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Aquiflexum,balticum
Exo15,1,Bacteria,Terrabacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo10,1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,candidum
Exo23,1,Bacteria,Actinobacteria,Actinobacteria,Unclassified,Unclassified,Unclassified,Unclassified
