Protein,Count,Domain,Phylum,Class,Order,Family,Genus,Species
Exo1,4,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo2,2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unclassified,Unclassified
Exo3,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Unclassified
Exo4,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,sp. H5
Exo5,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,DSM 108610
Exo6,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
Exo7,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
Exo8,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,denticola
Exo9,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,distasonis
Exo10,1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,candidum
Exo11,1,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,castenholzii
Exo12,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Asaia,bogorensis
Exo13,1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,aeruginosa
Exo14,1,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Unclassified,Unclassified
Exo15,1,Bacteria,Terrabacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo16,1,Non-bacterial cellular organism,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
