Protein,Count,Domain,Phylum,Class,Order,Family,Genus,Species
Exo1,1,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo17,2,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo6,3,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
Exo7,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
Exo25,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis
Exo26,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,dentalis
Exo27,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Unclassified
Exo28,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,distasonis
Exo20,1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,sp. APR13
Exo29,1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,foraminis
Exo10,1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,candidum
Exo30,1,Bacteria,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
Exo31,1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,sp. YN
Exo32,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Unclassified,Rubrivivax,gelatinosus
