Protein,Count,Domain,Phylum,Class,Order,Family,Genus,Species
Exo1,4,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo17,3,Bacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo36,1,Bacteria,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo2,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Unclassified,Unclassified
Exo3,3,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Unclassified
Exo18,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,sp. TLL-A4
Exo6,2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis
Exo7,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
Exo8,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,denticola
Exo26,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,dentalis
Exo9,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,distasonis
Exo37,1,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,thalpophilum
Exo19,1,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,mizutaii
Exo15,1,Bacteria,Terrabacteria,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
Exo10,2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,candidum
Exo29,1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,foraminis
Exo30,1,Bacteria,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
Exo38,1,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,deserti
Exo12,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Asaia,bogorensis
